
 Global ordering (ti,pi,xi) : 
(536,28058,14)
(537,28058,24)
(538,28058,0)
(539,28058,0)
(540,28058,34)
(541,28058,34)
(542,28058,28)
(543,28058,28)
(544,28058,16)
(545,28058,16)
(546,28058,22)
(547,28058,22)
(548,28058,28)
(549,28058,28)
(550,28058,20)
(551,28058,20)
(552,28058,2)
(553,28058,2)
(554,28058,4)
(555,28058,4)
(556,28058,39)
(557,28058,39)
(558,28058,20)
(559,28058,20)
(560,28058,27)
(561,28058,27)
(562,28058,25)
(563,28058,25)
(564,28058,11)
(565,28058,11)
(566,28058,33)
(567,28058,33)
(568,28058,21)
(569,28058,21)
(570,28058,9)
(571,28058,9)
(572,28058,17)
(573,28058,17)
(574,28058,33)
(575,28058,33)
(576,28058,28)
(577,28058,28)
(578,28058,20)
(579,28058,20)
(580,28058,39)
(581,28058,39)
(582,28058,19)
(583,28058,19)
(584,28058,9)
(585,28058,9)
(586,28058,0)
(587,28058,0)
(588,28058,11)
(589,28058,11)
(590,28058,19)
(591,28058,19)
(592,28058,11)
(593,28058,35)
(594,28058,35)
(595,28058,25)
(596,28058,25)
(597,28058,35)
(598,28058,27)
(599,28058,27)
(600,28058,11)
(601,28058,11)
(602,28058,15)
(603,28058,15)
(604,28058,3)
(605,28058,3)
(606,28058,33)
(607,28058,33)
(608,28058,3)
(609,28058,24)
(610,28058,24)
(611,28058,27)
(612,28058,27)
(613,28058,39)
(614,28058,39)
(615,28058,15)
(616,28058,15)
(617,28058,7)
(618,28058,7)
(619,28058,26)
(620,28058,26)
(621,28058,32)
(622,28058,32)
(623,28058,10)
(624,28058,10)
(625,28058,12)
(626,28058,12)
(627,28058,5)
(628,28058,5)
(629,28058,20)
(630,28058,20)
(631,28058,21)
(632,28058,21)
(633,28058,30)
(634,28058,30)
(635,28058,0)
(636,28058,0)
(637,28058,1)
(638,28058,1)
(639,28058,30)
(640,28058,30)
(641,28058,19)
(642,28058,19)
(643,28058,2)
(644,28058,2)
(645,28058,22)
(646,28058,22)
(647,28058,23)
(648,28058,23)
(649,28058,21)
(650,28058,21)
(651,28058,25)
(652,28058,25)
(653,28058,18)
(654,28058,18)
(655,28058,39)
(656,28058,39)
(657,28058,20)
(658,28058,20)
(659,28058,38)
(660,28058,38)
(661,28058,10)
(662,28058,10)
(663,28058,27)
(664,28058,27)
(665,28058,1)
(666,28058,1)
(667,28058,36)
(668,28058,36)
(669,28058,30)
(670,28058,30)
(671,28058,17)
(672,28058,17)
(673,28058,23)
(674,28058,23)
(675,28058,30)
(676,28058,30)
(677,28058,24)
(678,28058,24)
(679,28058,23)
(680,28058,23)
(681,28058,8)
(682,28058,8)
(683,28058,17)
(684,28058,17)
(685,28058,33)
(686,28058,33)
(687,28058,12)
(688,28058,12)
(689,28058,14)
(690,28058,14)
(691,28058,5)
(692,28058,5)
(693,28058,33)
(694,28058,33)
(695,28058,5)
(696,28058,5)
(697,28058,27)
(698,28058,27)
(699,28058,27)
(700,28058,17)
(701,28058,17)
(702,28058,29)
(703,28058,29)
(704,28058,9)
(705,28058,9)
(706,28058,0)
(707,28058,0)
(708,28058,3)
(709,28058,3)
(710,28058,26)
(711,28058,26)
(712,28058,10)
(713,28058,10)
(714,28058,34)
(715,28058,34)
(716,28058,38)
(717,28058,38)
(718,28058,8)
(719,28058,8)
(720,28058,4)
(721,28058,4)
(722,28058,25)
(723,28058,25)
(724,28058,2)
(725,28058,2)
(726,28058,32)
(727,28058,32)
(728,28058,15)
(729,28058,15)
(730,28058,19)
(731,28058,19)
(732,28058,8)
(733,28058,8)
(734,28058,37)
(735,28058,37)
(736,28058,36)
(737,28058,36)
(738,28058,31)
(739,28058,31)
(740,28058,6)
(741,28058,6)
(742,28058,13)
(743,28058,13)
(744,28058,16)
(745,28058,16)
(746,28058,18)
(747,28058,18)
(748,28058,27)
(749,28058,27)
(750,28058,22)
(751,28058,22)
(752,28058,4)
(753,28058,4)
(754,28058,24)
(755,28058,24)
(756,28058,19)
(757,28058,19)
(758,28058,23)
(759,28058,23)
(760,28058,11)
(761,28058,11)
(762,28058,36)
(763,28058,36)
(764,28058,12)
(765,28058,12)
(766,28058,12)
(767,28058,36)
(768,28058,7)
(769,28058,7)
(770,28058,38)
(771,28058,38)
(772,28058,39)
(773,28058,39)
(774,28058,-9)
(775,28061,1)
(776,28061,1)
(777,28061,0)
(778,28061,0)
(779,28061,1)
(780,28061,1)
(781,28061,0)
(782,28061,1)
(783,28061,1)
(784,28061,0)
(785,28061,0)
(786,28061,-9)
